    ID  ||  Member ID   ||  Checkout Date   ||  Return Date
5       ||ilug		    ||07/03/2020	    ||20/03/2021
4       ||rdil		    ||29/06/2020	    ||0
9       ||osmz		    ||07/04/2021  	    ||0
13      ||thgg		    ||13/12/2019	    ||0
5       ||ppmq		    ||27/05/2021	    ||0
10      ||efrd		    ||30/03/2021	    ||03/08/2021
8       ||thgg		    ||01/05/2020  	    ||0
6       ||esno	        ||23/03/2021	    ||0
10	    ||aoyp	        ||17/06/2020  	    ||24/08/2020
11	    ||goog	        ||23/06/2019  	    ||0
12	    ||mrxs	        ||20/12/2019  	    ||0
10	    ||blje	        ||05/02/2020  	    ||0
3	    ||tbij	        ||28/07/2019	    ||0
9	    ||empn	        ||08/10/2020  	    ||21/03/2021
11	    ||aldl	        ||09/06/2020  	    ||26/08/2020
2	    ||trte	        ||25/04/2021  	    ||0
9	    ||gsps	        ||19/12/2019	    ||29/12/2020
13	    ||wtkv	        ||28/04/2021        ||0
11	    ||klqz	        ||18/06/2020	    ||31/05/2021
3	    ||orat	        ||16/05/2019	    ||12/03/2021
7	    ||osmz	        ||19/08/2019	    ||20/08/2020
8	    ||efrd	        ||20/01/2019	    ||10/03/2021
15	    ||esno	        ||15/06/2020	    ||20/09/2020
12	    ||ppmq	        ||14/11/2020	    ||25/11/2020
2	    ||empn	        ||14/09/2019	    ||26/01/2021
5	    ||empn	        ||09/09/2021	    ||30/09/2021
9	    ||tbij	        ||23/07/2020	    ||13/02/2021
12	    ||dpye	        ||27/10/2020	    ||28/08/2021
8	    ||uovp	        ||06/07/2020	    ||15/11/2021
8	    ||ocol	        ||10/09/2021	    ||09/12/2021
10	    ||sork	        ||10/01/2019	    ||20/08/2021
1	    ||nqcy	        ||27/10/2020	    ||14/12/2021
7	    ||njra	        ||20/05/2021	    ||10/06/2021
4	    ||dgbk	        ||29/04/2021	    ||17/07/2021
2	    ||geyv	        ||14/02/2021	    ||02/04/2021
5	    ||jujn	        ||12/11/2019	    ||29/10/2020
13	    ||rbpz	        ||11/07/2019	    ||06/04/2020
13	    ||empn	        ||06/04/2019	    ||10/11/2019
12	    ||geyv	        ||09/03/2019	    ||10/04/2019
3	    ||tbij	        ||22/10/2019	    ||26/01/2021
7	    ||dpye	        ||08/08/2019	    ||28/06/2020
14	    ||uovp	        ||27/12/2020	    ||20/10/2021
11	    ||nqcy	        ||25/01/2020	    ||13/05/2020
3	    ||bnsr	        ||30/09/2019	    ||18/12/2020
15      ||orat          ||01/12/2021        ||0
15	    ||jvrc	        ||17/07/2019	    ||16/09/2020
13	    ||gzyv	        ||03/05/2019	    ||12/05/2019
15	    ||bnsr       	||19/08/2019	    ||23/09/2021
6	    ||gzyv	        ||22/08/2019	    ||17/09/2020
9	    ||gzyv	        ||16/02/2019	    ||14/08/2019
10	    ||jvrc	        ||06/04/2019	    ||03/08/2021
